SupplierID,SupplierName,Category,Country,City,ContactName,ContactEmail,ContactPhone,AnnualRevenue,PaymentTerms,Active,RelationshipStartDate,TierRanking,DiversityStatus,SustainabilityRating,RiskCategory,Region,Latitude,Longitude
TW_SUP_0001,Tech Utilities,Waste Management & Sludge Treatment,United Kingdom,Maidstone,Stella Fisher,stella.fisher@tech.co.uk,+44 1821 840087,209173234,Net 60,True,2024-03-25,Tier 1,Not Applicable,AA,Medium,West,53.29667418631166,0.6149318110129327
TW_SUP_0002,Clear Miller Group,Engineering Design Services,United Kingdom,Cambridge,Mia Diaz,mia.diaz@clear.co.uk,+44 9388 961007,325811643,e,True,2018-04-10,Tier 2,Women-Owned,CCC,High,West,56.95999532441643,0.8013271821836945
TW_SUP_0003,London Partners,Fleet Management & Logistics,United Kingdom,Southampton,Elizabeth Powell,elizabeth.powell@london.co.uk,+44 8224 275466,5959124,e,True,2023-05-07,Tier 1,Veteran-Owned,AAA,Critical,Central,53.75510372513543,-3.6165543429012863
TW_SUP_0004,Cyber PLC,Fleet Management & Logistics,Spain,Barcelona,Steven Taylor,steven.taylor@cyber.co.uk,+44 8699 851713,133197164,e,False,2017-11-02,Tier 1,Veteran-Owned,A,Critical,International,44.286817630473834,-34.55902117397018
TW_SUP_0005,London Insight Consulting 1,Mechanical & Electrical Engineering,United Kingdom,Reading,Stephen Mitchell,stephen.mitchell@london.co.uk,+44 9638 838675,398535321,e,True,2020-06-10,Tier 3,Minority-Owned,AAA,Medium,East,53.541159299549925,-4.317235845562842
TW_SUP_0006,Thames Jones Tech,Leakage Detection Services,United Kingdom,Basingstoke,Skylar Sanders,skylar.sanders@thames.co.uk,+44 7329 457038,363964616,e,True,2021-02-13,Tier 3,Minority-Owned,AAA,Medium,West,51.79287341535522,-3.6938362086214793
TW_SUP_0007,Tech Dynamics,Environmental Consultancy,United Kingdom,Luton,Natalie Carter,natalie.carter@tech.co.uk,+44 9708 201311,162623910,e,True,2021-07-29,Tier 3,Small Business,A,Medium,South,51.76041850575805,-3.8511080049136
TW_SUP_0008,Barnes & White Partners,Leakage Detection Services,Netherlands,Amsterdam,Evelyn Hall,evelyn.hall@barnes.co.uk,+44 9279 722349,15001059,e,True,2018-04-27,Tier 2,Veteran-Owned,AAA,Low,International,26.388999114987286,36.56096289697223
TW_SUP_0009,Thames Advisory,Customer Service Solutions,Spain,Barcelona,Jacob Thomas,jacob.thomas@thames.co.uk,+44 3456 135405,109144204,e,True,2018-08-04,Tier 2,Minority-Owned,A,Low,International,42.951081084876996,-3.3187768006847023
TW_SUP_0010,Flow Insight Consulting 2,Heavy Plant & Equipment Hire,Germany,Cologne,Sarah James,sarah.james@flow.co.uk,+44 8071 438878,30524338,e,True,2020-08-29,Tier 1,Women-Owned,AAA,High,International,38.35697332868103,38.140535127239616
TW_SUP_0011,Digital Engineering,Research & Development,United Kingdom,Liverpool,James Jones,james.jones@digital.co.uk,+44 6811 590416,21628476,e,True,2024-02-23,Tier 3,Minority-Owned,CCC,Critical,West,57.07730077360156,-2.089310768180891
TW_SUP_0012,Flow Insight Consulting 3,IT & Technology Solutions,United Kingdom,Slough,Gabriella Scott,gabriella.scott@flow.co.uk,+44 1122 474711,195951317,e,True,2017-07-13,Tier 1,Veteran-Owned,AA,High,Central,54.074769070605036,-1.4577293365007815
TW_SUP_0013,Severn Insight Partners 3,Water Treatment Plant Operations,France,Marseille,Avery Kelly,avery.kelly@severn.co.uk,+44 6302 173102,269903533,e,True,2023-05-26,Tier 1,Minority-Owned,B,Medium,International,29.692018100236577,-29.183554696647533
TW_SUP_0014,Rogers & Thompson Partners,Mechanical & Electrical Engineering,Ireland,Limerick,Andrew Bailey,andrew.bailey@rogers.co.uk,+44 7633 169166,231880227,e,True,2019-05-12,Tier 2,Small Business,AA,Low,International,33.79588112430365,1.5979045413343442
TW_SUP_0015,Flow Campbell-Smith Tech,IT & Technology Solutions,Spain,Madrid,Madison Richardson,madison.richardson@flow.co.uk,+44 1149 903165,134347387,e,True,2019-03-01,Tier 3,Minority-Owned,AA,Low,International,37.27330988404362,-115.687224176869
TW_SUP_0016,London Baker Solutions,Facilities Management,United Kingdom,Manchester,Steven Smith,steven.smith@london.co.uk,+44 9660 807857,377806955,e,True,2024-04-21,Tier 1,Not Applicable,A,Critical,South,50.2057388991306,-4.438824966308186
TW_SUP_0017,Clear Moore-Taylor Services,Customer Service Solutions,United Kingdom,Southampton,Chloe Jackson,chloe.jackson@clear.co.uk,+44 9624 742230,395720742,e,True,2023-04-18,Tier 2,Veteran-Owned,AA,High,East,55.88430721587587,0.3328469894071606
TW_SUP_0018,Hydro Powell Ltd,Engineering Design Services,United Kingdom,Maidstone,Anthony Perry,anthony.perry@hydro.co.uk,+44 5761 701845,234846679,e,True,2023-03-29,Tier 3,Women-Owned,CCC,Critical,West,56.22181738085123,-2.6378692916927977
TW_SUP_0019,Southern Johnson Advisory,Facilities Management,United Kingdom,Guildford,Emily Ortiz,emily.ortiz@southern.co.uk,+44 6567 105605,311729671,e,True,2018-12-26,Tier 2,Minority-Owned,B,Medium,North,50.30021962144346,-0.810501088011871
TW_SUP_0020,Southern Insight Advisory 2,Professional Services (Legal/HR),United States,Atlanta,Nicholas Rogers,nicholas.rogers@southern.co.uk,+44 1075 889032,76417731,e,False,2024-03-15,Tier 3,Veteran-Owned,AAA,Low,International,39.36515925915974,23.099792964797416
